"date","bedrooms","bathrooms","sqft_living","floors","view","grade","sqft_above","sqft_basement","lat","long","sqft_living15","price"
2014-07-23,3,2.5,2150,2,0,8,2150,0,47.5488,-122.372,1750,465000
2015-01-13,3,2.5,1910,2,0,7,1910,0,47.5385,-121.911,2330,440000
2014-10-14,3,1.75,1350,1,0,7,1350,0,47.4058,-121.994,1560,385000
2015-03-11,3,1,860,1,0,6,860,0,47.5093,-122.184,1300,210000
2014-11-12,3,2.5,1940,2,0,8,1940,0,47.3777,-122.165,2030,297000
2014-07-16,3,1,1010,1,0,7,1010,0,47.675,-122.394,1680,470000
2014-08-04,3,1.5,1300,1,0,7,900,400,47.3025,-122.37,1430,226500
2015-03-03,3,1,910,1,0,6,910,0,47.4787,-122.158,1400,274250
2014-08-04,4,1.75,2480,1,0,9,1630,850,47.5378,-122.219,2770,840000
2014-09-19,3,2.5,2440,2,0,8,2440,0,47.7073,-122.114,2750,677900
2015-02-05,3,1,1010,1,0,7,1010,0,47.5733,-122.381,1290,425000
2014-11-23,2,0.75,900,1,0,6,900,0,47.4604,-122.339,1250,180250
2014-07-17,6,3,2300,2,0,7,1600,700,47.7067,-122.343,1560,464000
2015-04-22,4,2.25,1550,2,0,8,1550,0,47.354,-122.047,1630,320000
2014-07-17,3,2.25,1270,2,0,8,1060,210,47.6647,-122.284,1160,625504
2014-05-15,4,2.5,2240,1,0,9,2240,0,47.6143,-122.017,2520,592500
2015-01-14,3,2.5,2714,2,0,9,2714,0,47.3185,-122.275,2590,465000
2014-05-27,4,2.75,1720,2,0,8,1720,0,47.5458,-122.268,2130,477000
2015-01-15,2,1,850,1,0,6,850,0,47.4889,-122.299,1100,280000
2014-07-03,3,2.5,2250,2,0,8,2250,0,47.5133,-122.379,1320,445838
2014-08-28,2,2.25,3900,1,3,8,1950,1950,47.5884,-122.291,2580,1072000
2014-10-23,2,1.5,1320,1,0,8,1320,0,47.7145,-122.367,2120,467000
2014-08-22,4,2.5,2760,2,0,10,2760,0,47.5836,-122.026,3070,686000
2014-06-05,3,2,1750,1,0,7,1350,400,47.398,-122.299,1900,279950
2014-09-04,4,2.25,2330,2,0,8,2330,0,47.7663,-122.215,1910,527000
2014-09-18,3,2.25,2220,1,0,8,1780,440,47.3758,-122.217,2080,325000
2014-09-03,3,2.25,2020,2,0,7,2020,0,47.3828,-122.023,2020,328000
2014-06-04,3,2.25,1250,1,0,7,1250,0,47.5123,-122.373,1280,390000
2015-03-09,2,2,1510,1,0,8,1510,0,47.7076,-122.013,1640,479950
2014-05-29,4,2.25,1720,1,0,7,1120,600,47.2922,-122.371,1510,264950
2015-01-15,3,1,1430,1,0,7,980,450,47.4075,-122.214,1960,235000
2015-03-03,3,2.5,1480,2,0,7,1480,0,47.6794,-122.034,2250,516500
2015-04-13,2,1.75,1450,2,4,7,1230,220,47.4497,-122.375,2030,655000
2014-06-16,4,2.75,2280,1,0,7,2280,0,47.5218,-122.164,2280,5e+05
2014-11-21,6,2.75,2940,1,0,8,1780,1160,47.3103,-122.339,2120,315000
2014-11-20,2,1,1000,1,0,6,1000,0,47.5687,-121.899,1150,213000
2014-09-02,3,1.5,2480,1.5,0,7,1620,860,47.5575,-122.303,2090,475000
2014-06-10,5,4,3760,2,0,10,3760,0,47.6489,-122.183,3430,1025000
2015-04-09,3,2,2220,1,0,7,1640,580,47.3459,-121.95,2070,416000
2015-03-20,4,1,1970,1.5,0,7,1670,300,47.6136,-122.303,1510,410000
2014-07-01,3,3.5,3830,2,0,10,3530,300,47.7641,-122.023,2920,8e+05
2014-05-29,6,2.5,4410,1,2,9,2350,2060,47.3376,-122.324,2600,472000
2014-12-08,3,1.75,1430,1,0,7,1430,0,47.3173,-122.319,1190,225000
2014-10-01,2,1,830,1,0,6,830,0,47.5308,-122.376,830,210000
2015-01-27,2,1,1430,1.5,0,7,1430,0,47.6727,-122.299,1450,455000
2015-04-27,3,1,1300,1,0,6,1300,0,47.3221,-122.216,1260,225000
2014-08-26,2,1,1030,1,2,7,790,240,47.6779,-122.353,1390,480000
2015-02-12,3,2.5,2740,2,0,9,2740,0,47.3076,-122.395,2570,363000
2015-02-26,2,1.5,720,1,0,6,720,0,47.5218,-122.357,1150,181000
2015-03-14,4,2,2010,1,0,7,2010,0,47.2785,-122.213,2010,250000
2015-04-22,3,1.75,1560,1,0,6,770,790,47.6846,-122.345,1390,481000
2014-09-23,3,2,1810,1,0,7,1240,570,47.3656,-122.278,1750,260000
2014-05-13,4,2.5,3360,2,0,9,3360,0,47.4369,-122.111,3060,455000
2015-04-01,3,2.25,1510,2,0,8,1510,0,47.4616,-121.711,1730,415000
2015-04-21,3,1,1400,1,0,7,800,600,47.5405,-122.27,1620,349500
2014-09-29,3,2.5,1730,2,0,7,1730,0,47.3507,-122.178,1630,245000
2014-05-19,2,2,1420,1.5,2,7,1420,0,47.6979,-122.32,1420,592500
2014-10-20,4,1.75,2360,1,0,7,1180,1180,47.5278,-122.345,1910,385000
2015-02-11,3,1.75,1580,1,0,7,1200,380,47.4756,-122.147,1550,315000
2014-11-24,3,1,1230,1,0,7,1230,0,47.4437,-121.772,1380,255000
2014-08-29,4,2.5,2460,2,0,8,2460,0,47.7048,-122.109,2990,693000
2014-12-02,3,1,1660,1.5,0,8,1460,200,47.6362,-122.302,1660,780000
2014-10-24,3,1.75,1270,1,0,7,1270,0,47.4207,-122.29,1600,237000
2014-12-16,3,2.25,2100,2,0,10,1320,780,47.6154,-122.047,2380,525000
2015-04-28,2,1,770,1,0,5,770,0,47.5964,-122.299,1330,425000
2014-10-27,1,0.75,760,1,4,5,760,0,47.4683,-122.438,1230,369900
2014-05-19,4,2.5,1700,2,0,7,1700,0,47.4045,-122.171,1950,290000
2014-09-29,3,1,1120,1,0,7,1120,0,47.5544,-122.358,1130,285000
2014-08-14,2,1,1070,1,0,7,1070,0,47.6802,-122.29,1320,415000
2015-04-09,3,2.5,2070,1,0,8,1420,650,47.2988,-122.371,2070,272500
2015-05-01,2,1,1040,1,0,7,1040,0,47.7107,-122.352,1440,436000
2014-10-17,3,1,1700,1,0,7,1700,0,47.3271,-122.323,1350,210000
2014-09-25,3,1,1300,1,0,7,1300,0,47.5053,-122.255,1320,236000
2014-11-24,3,1.75,1080,1,0,7,580,500,47.6601,-122.4,1440,331000
2015-03-20,3,2.5,2653,2,0,8,2653,0,47.4145,-122.166,2653,365000
2015-01-27,3,2,2290,1,0,8,2290,0,47.4672,-122.165,1660,450000
2014-11-13,4,2.75,3820,2,0,9,2850,970,47.7618,-122.261,1860,770000
2015-05-05,4,2.5,2210,1,0,8,2210,0,47.3828,-122.071,2670,455000
2015-05-05,3,1.75,2390,1,0,6,1240,1150,47.5362,-122.268,2020,405000
2014-07-03,4,1.75,2600,1,0,7,1610,990,47.3954,-122.206,1720,304900
2015-02-27,2,1,860,1,0,6,860,0,47.5048,-122.272,1650,170000
2014-06-30,4,2.5,3500,2,0,9,3500,0,47.6811,-122.025,3920,780000
2015-04-10,3,3,2420,1,0,8,1740,680,47.7486,-122.23,2570,330000
2014-09-05,4,2.5,2720,2,0,9,2720,0,47.3846,-122.169,2410,370000
2014-10-17,5,2.25,2500,1,0,7,1850,650,47.7564,-122.144,2300,467000
2015-02-09,3,1.75,1670,1,0,7,1140,530,47.7198,-122.193,1670,405000
2014-07-02,5,2.25,2900,1,0,8,1450,1450,47.5461,-122.151,2310,675000
2014-08-12,2,1,1640,1,0,7,1140,500,47.5712,-122.143,1520,5e+05
2014-07-23,4,2.5,1890,2,0,7,1890,0,47.4281,-122.343,2410,389999
2015-02-24,4,1.75,2950,1,2,8,1780,1170,47.7128,-122.223,2120,630000
2014-10-22,4,2.5,2160,2,0,9,2160,0,47.3341,-122.255,2280,360000
2014-10-02,4,3,3280,2,0,8,2270,1010,47.5399,-122.181,2320,580000
2014-07-09,3,2,1970,2,3,8,1270,700,47.5717,-122.375,2390,550000
2014-07-10,4,2.5,3360,2,0,10,3360,0,47.5951,-122.017,3150,879000
2014-08-22,3,2,1320,1,0,7,1320,0,47.3536,-122.144,1740,265000
2015-03-04,3,2.5,2650,2,0,8,2650,0,47.5084,-122.154,2400,446500
2014-06-02,3,1.5,2030,1,0,7,1330,700,47.5586,-122.311,2140,404000
2014-05-29,3,1.75,1590,1,2,7,1090,500,47.4427,-122.274,1630,267500
2014-08-11,3,2.5,2440,2,0,8,2440,0,47.3494,-122.301,2510,335000
2014-06-19,3,2.5,1940,1,0,7,970,970,47.6933,-122.393,2190,576000
2015-04-01,3,2.5,2040,2,0,8,2040,0,47.3537,-122,2370,208633
2015-01-15,3,2.25,2200,1,0,7,1120,1080,47.476,-122.337,1460,315000
2015-02-17,3,1.75,1920,1,0,8,960,960,47.6239,-122.298,1740,725000
2015-04-03,4,2.75,1800,1,0,8,1400,400,47.7776,-122.384,1800,550000
2014-06-12,4,2.25,2180,2,0,8,2180,0,47.6459,-122.058,2250,610750
2015-02-28,2,1,1010,1.5,0,6,1010,0,47.6692,-122.297,1460,550700
2015-01-08,4,2.75,3320,2,0,8,2220,1100,47.5376,-122.18,2720,665000
2015-02-09,4,2.5,2370,1.5,2,8,1980,390,47.601,-122.294,2440,834000
2014-10-23,5,1.75,1660,1.5,0,6,1660,0,47.529,-121.837,1660,201000
2014-11-05,4,2.25,1950,1,0,8,1350,600,47.4441,-122.125,2150,305000
2015-04-08,3,2,2590,1,0,8,1720,870,47.7357,-122.333,1570,487000
2015-05-11,3,2.5,1930,1,0,8,1930,0,47.346,-122.157,2350,390000
2014-07-23,2,1,1470,1,0,7,1170,300,47.6638,-122.345,1570,548000
2014-11-22,4,1,800,1,0,6,800,0,47.48,-122.336,1310,268750
2014-05-13,5,2.75,3150,2,0,9,3150,0,47.6759,-122.151,1560,819900
2014-10-23,3,2.25,2030,2,0,8,2030,0,47.5162,-122.057,2660,520000
2014-07-21,3,2,1450,1,0,7,1450,0,47.2639,-122.252,1520,230000
2015-02-02,3,1.75,1510,1,0,7,1510,0,47.2929,-122.371,1510,240000
2014-09-05,2,1,1240,1,0,6,960,280,47.4957,-122.352,1820,232000
2015-03-11,2,1,1240,1,0,6,960,280,47.4957,-122.352,1820,240500
2014-10-27,3,2.5,3030,2,0,9,3030,0,47.7721,-122.093,3080,274975
2014-09-05,4,2,2050,1.5,0,9,2050,0,47.644,-122.319,2320,740000
2015-04-28,3,1,1000,1,0,7,1000,0,47.472,-122.344,1150,186375
2014-07-25,3,2.25,2370,1,0,9,1590,780,47.592,-122.166,2500,790000
2014-09-16,4,3.5,2800,2,0,9,1890,910,47.669,-122.275,2370,880000
2015-04-16,6,1.75,2240,2,0,7,2240,0,47.42,-122.323,1590,279000
2014-07-29,3,2,1810,1,2,8,1810,0,47.1913,-122.012,1910,295000
2015-04-08,2,1,1070,1,0,7,1070,0,47.6666,-122.331,1710,640000
2014-07-03,4,2,2490,2,0,9,2490,0,47.5639,-122.217,2770,940000
2014-10-07,4,2.5,1960,2,0,7,1960,0,47.3483,-122.052,1800,260000
2014-06-02,3,2.75,2930,1,0,9,1860,1070,47.7648,-122.164,2580,559900
2014-07-22,4,2,1510,1.5,0,7,1510,0,47.6794,-122.357,1820,791500
2014-08-26,3,1.75,1420,1,0,7,1420,0,47.7535,-122.354,1740,265000
2015-05-01,3,1.75,1740,1,0,7,1740,0,47.4945,-122.22,880,245000
2015-04-24,4,1.75,2560,2,0,7,2560,0,47.6945,-122.093,2560,485000
2014-11-06,4,3.5,3040,2,0,9,2420,620,47.5222,-122.157,3470,684000
